id;count;total_time;CPU;LPM;DeepLPM;Radio_TX;Radio_RX;Radio_Total
3;19;1966079;4294;1961785;0;52;1966026;1966078
8;20;1966080;2753;1963327;0;52;1966027;1966079
2;20;1966081;3582;1962499;0;167;1965910;1966077
6;20;1966080;2422;1963658;0;52;1966026;1966078
4;20;1966080;2261;1963819;0;60;1966020;1966080
1;20;1966080;7217;1958863;0;421;1965655;1966076
7;20;1966080;3142;1962938;0;159;1965919;1966078
10;20;1966080;6792;1959288;0;493;1965577;1966070
9;20;1966080;4633;1961447;0;183;1965893;1966076
5;20;1966080;2435;1963645;0;60;1966018;1966078
3;20;1966080;5144;1960936;0;159;1965919;1966078
